state,county,2015,2016,2017,2018,fips
Georgia,Appling,1351221,1406512,1427534,1417429,
Georgia,Atkinson,211521,213898,224844,236695,
Georgia,Bacon,332628,351341,361434,357666,
Georgia,Baker,82734,94739,81967,87742,
Georgia,Baldwin,1221127,1221974,1226412,1237235,
Georgia,Banks,374857,376263,423761,432928,
Georgia,Barrow,1690337,1720364,1794017,1884951,
Georgia,Bartow,4109404,4384889,4377573,4495356,
Georgia,Ben Hill,476982,480766,479336,481148,
Georgia,Berrien,325527,327001,340702,354815,
Georgia,Bibb,7746567,7651253,7746876,7980755,
Georgia,Bleckley,224077,222459,226437,232430,
Georgia,Brantley,217794,228431,232714,240294,
Georgia,Brooks,288213,286397,276881,286906,
Georgia,Bryan,694751,724375,765385,807644,
Georgia,Bulloch,2028980,2060434,2118761,2141698,
Georgia,Burke,1977820,2230208,2417457,2489579,
Georgia,Butts,496924,511615,546854,560604,
Georgia,Calhoun,120213,123044,134787,124665,
Georgia,Camden,1709746,1760908,1832731,1865713,
Georgia,Candler,225735,226591,235359,243238,
Georgia,Carroll,3675530,3773815,3861112,3994013,
Georgia,Catoosa,1276749,1269812,1331936,1366360,
Georgia,Charlton,191523,191167,197844,193017,
Georgia,Chatham,15362116,15778121,16331323,16849129,
Georgia,Chattahoochee,1779499,1555436,1427986,1422770,
Georgia,Chattooga,525767,520846,537245,549226,
Georgia,Cherokee,5486467,5750505,5991316,6203380,
Georgia,Clarke,6390311,6539802,6747725,6890589,
Georgia,Clay,71309,70805,69287,79221,
Georgia,Clayton,15199921,16464790,17009516,16751712,
Georgia,Clinch,229143,243641,242214,246674,
Georgia,Cobb,40155979,42103647,44249462,45417267,
Georgia,Coffee,1250480,1292181,1338377,1389874,
Georgia,Colquitt,1178178,1206080,1271275,1302673,
Georgia,Columbia,2994458,3064812,3173887,3294683,
Georgia,Cook,316271,320322,341989,366696,
Georgia,Coweta,3337077,3418967,3484208,3705520,
Georgia,Crawford,168760,177696,174374,165034,
Georgia,Crisp,680990,682528,707876,712897,
Georgia,Dade,335889,335398,345461,376102,
Georgia,Dawson,702783,737584,783804,814582,
Georgia,Decatur,775385,783143,834766,824276,
Georgia,DeKalb,33778100,35049181,36167573,37396329,
Georgia,Dodge,426421,425942,429116,431156,
Georgia,Dooly,284463,320309,307967,312341,
Georgia,Dougherty,4008440,4081962,4114193,4198481,
Georgia,Douglas,3380816,3561003,3630212,3848040,
Georgia,Early,537524,542826,545236,554226,
Georgia,Echols,49910,50034,48503,48865,
Georgia,Effingham,1618198,1665328,1744475,1789623,
Georgia,Elbert,560511,555429,563622,577880,
Georgia,Emanuel,590767,593947,642729,624021,
Georgia,Evans,340076,335816,339026,348274,
Georgia,Fannin,516644,543353,573522,601484,
Georgia,Fayette,3784441,3995272,4141752,4314130,
Georgia,Floyd,3689436,3732691,3778121,3787411,
Georgia,Forsyth,8294314,8453649,8444083,8676090,
Georgia,Franklin,820013,838987,870627,899867,
Georgia,Fulton,134304701,141794655,148753855,152383941,
Georgia,Gilmer,769658,762776,799896,827846,
Georgia,Glascock,44815,45753,43859,44217,
Georgia,Glynn,3348247,3342742,3401864,3524216,
Georgia,Gordon,1900852,1905260,2102470,2159797,
Georgia,Grady,604435,585555,656456,672965,
Georgia,Greene,576061,575522,600644,614673,
Georgia,Gwinnett,40829642,41633590,43164073,44198573,
Georgia,Habersham,1286371,1317301,1344593,1392422,
Georgia,Hall,7807071,8015174,8440946,8764977,
Georgia,Hancock,164962,157907,159218,160890,
Georgia,Haralson,670510,680955,692227,712231,
Georgia,Harris,406572,418466,433348,449959,
Georgia,Hart,805711,768988,801163,880377,
Georgia,Heard,1169222,1228666,1278253,1132700,
Georgia,Henry,4775897,5031465,5240352,5456897,
Georgia,Houston,5682804,5727423,5892668,6039600,
Georgia,Irwin,166113,167520,174187,181549,
Georgia,Jackson,2199723,2410639,2541010,2647300,
Georgia,Jasper,224245,221699,233703,238754,
Georgia,Jeff Davis,378737,370049,386919,397699,
Georgia,Jefferson,466444,489995,515230,514017,
Georgia,Jenkins,134894,143704,130903,135816,
Georgia,Johnson,138959,137017,132574,136228,
Georgia,Jones,392098,400382,415254,388998,
Georgia,Lamar,384184,383838,385431,396516,
Georgia,Lanier,142134,148957,156769,154894,
Georgia,Laurens,1671630,1774071,1845028,1835285,
Georgia,Lee,505533,522804,541501,546644,
Georgia,Liberty,3265956,3197093,3206443,3212350,
Georgia,Lincoln,129208,130161,130362,131430,
Georgia,Long,114925,117315,116650,120961,
Georgia,Lowndes,4256814,4337096,4457325,4563203,
Georgia,Lumpkin,626006,634151,675155,696558,
Georgia,McDuffie,586925,596121,611282,624689,
Georgia,McIntosh,179123,182627,189560,193322,
Georgia,Macon,426794,406269,428360,428881,
Georgia,Madison,437176,427933,458809,482010,
Georgia,Marion,129046,122502,128552,128418,
Georgia,Meriwether,444867,462361,470015,486486,
Georgia,Miller,162760,167043,169009,171059,
Georgia,Mitchell,746460,714922,709186,710687,
Georgia,Monroe,1608722,1620927,1537759,1636124,
Georgia,Montgomery,146807,145285,138204,141780,
Georgia,Morgan,608663,611589,649071,672292,
Georgia,Murray,1150996,1314181,1292956,1250877,
Georgia,Muscogee,9321427,9211393,9560917,9713550,
Georgia,Newton,2252854,2314079,2423209,2415670,
Georgia,Oconee,1108612,1150377,1201916,1254367,
Georgia,Oglethorpe,315311,326088,323714,331793,
Georgia,Paulding,2049132,2123522,2211909,2290287,
Georgia,Peach,845561,901372,903147,938621,
Georgia,Pickens,836160,870918,898120,929381,
Georgia,Pierce,337410,348060,361216,371570,
Georgia,Pike,261192,264694,271442,278801,
Georgia,Polk,1094434,1117842,1137185,1181529,
Georgia,Pulaski,252806,255801,254685,265086,
Georgia,Putnam,456284,427165,441597,445696,
Georgia,Quitman,44123,44573,46565,49138,
Georgia,Rabun,432129,441871,454254,466083,
Georgia,Randolph,307392,359271,361550,362963,
Georgia,Richmond,11197372,11263690,11472355,11603709,
Georgia,Rockdale,3400053,3279733,3359843,3403771,
Georgia,Schley,108297,106081,108373,111573,
Georgia,Screven,303910,308010,314439,330384,
Georgia,Seminole,256617,247484,250956,248233,
Georgia,Spalding,1868069,1844851,1902424,1932018,
Georgia,Stephens,838611,824162,836342,845831,
Georgia,Stewart,109190,113152,122926,131437,
Georgia,Sumter,995083,982836,1003719,1012804,
Georgia,Talbot,112313,134044,120922,136557,
Georgia,Taliaferro,38740,40701,38626,40876,
Georgia,Tattnall,587283,580275,596397,598451,
Georgia,Taylor,152805,199898,201669,196727,
Georgia,Telfair,390147,381779,391750,400242,
Georgia,Terrell,237848,237904,241051,243756,
Georgia,Thomas,1994972,2001174,2021349,2050229,
Georgia,Tift,1803154,1641382,1671954,1722446,
Georgia,Toombs,914977,891694,895077,909766,
Georgia,Towns,277029,282042,277559,291115,
Georgia,Treutlen,111594,116794,117021,119360,
Georgia,Troup,3582110,3602164,3670290,3689303,
Georgia,Turner,195351,186514,189957,190629,
Georgia,Twiggs,172867,211419,229351,269210,
Georgia,Union,602821,598408,616544,636700,
Georgia,Upson,618389,606611,617870,634107,
Georgia,Walker,1304835,1286265,1351362,1382991,
Georgia,Walton,1977836,2155338,2242354,2305512,
Georgia,Ware,1217727,1235105,1245587,1253181,
Georgia,Warren,160471,165502,166879,190039,
Georgia,Washington,579470,562100,573325,580610,
Georgia,Wayne,696693,680210,702242,716988,
Georgia,Webster,57433,60564,65796,68097,
Georgia,Wheeler,122962,121901,122929,126380,
Georgia,White,608647,613669,633395,651770,
Georgia,Whitfield,5270007,5417769,5530182,5604981,
